"","theta_idx","method","n_idx","coverage","width","theta","n"
"1",1,"hulc",1,0.818,1.52492767929451,0.2,50
"2",2,"hulc",1,0.927,1.35774838744577,0.9,50
"3",3,"hulc",1,0.943,1.29242515154618,1.6,50
"4",4,"hulc",1,0.945,1.22636168204841,2.3,50
"5",5,"hulc",1,0.941,1.17098492243907,3,50
"6",6,"hulc",1,0.939,1.15987485633048,3.7,50
"7",7,"hulc",1,0.927,1.13402380731622,4.4,50
"8",8,"hulc",1,0.952,1.14439730558077,5.1,50
"9",9,"hulc",1,0.928,1.12480182954474,5.8,50
"10",10,"hulc",1,0.939,1.09110237630745,6.5,50
"11",11,"hulc",1,0.945,1.10827336619799,7.2,50
"12",12,"hulc",1,0.951,1.10003819067905,7.9,50
"13",13,"hulc",1,0.94,1.09903072622055,8.6,50
"14",14,"hulc",1,0.942,1.09911199096481,9.3,50
"15",15,"hulc",1,0.948,1.08301647130623,10,50
"16",1,"dhz_orac",1,0.991,3.77214410050545,0.2,50
"17",2,"dhz_orac",1,0.965,1.68876352687675,0.9,50
"18",3,"dhz_orac",1,0.954,1.27622839639966,1.6,50
"19",4,"dhz_orac",1,0.966,1.119201397107,2.3,50
"20",5,"dhz_orac",1,0.953,0.991076529822579,3,50
"21",6,"dhz_orac",1,0.957,0.953152452816462,3.7,50
"22",7,"dhz_orac",1,0.957,0.912230317056364,4.4,50
"23",8,"dhz_orac",1,0.955,0.876290543028602,5.1,50
"24",9,"dhz_orac",1,0.947,0.863469561571533,5.8,50
"25",10,"dhz_orac",1,0.922,0.877072042536381,6.5,50
"26",11,"dhz_orac",1,0.952,0.824533775765975,7.2,50
"27",12,"dhz_orac",1,0.949,0.815855275198165,7.9,50
"28",13,"dhz_orac",1,0.938,0.833066351285852,8.6,50
"29",14,"dhz_orac",1,0.948,0.806129224592028,9.3,50
"30",15,"dhz_orac",1,0.947,0.809591454730783,10,50
"31",1,"dhz_data",1,0.953,2.92174983758532,0.2,50
"32",2,"dhz_data",1,0.962,1.6209505311524,0.9,50
"33",3,"dhz_data",1,0.962,1.34928249261341,1.6,50
"34",4,"dhz_data",1,0.97,1.15519614187635,2.3,50
"35",5,"dhz_data",1,0.96,1.02451950500443,3,50
"36",6,"dhz_data",1,0.973,1.04588649340428,3.7,50
"37",7,"dhz_data",1,0.963,0.930495006962346,4.4,50
"38",8,"dhz_data",1,0.957,0.887492003981274,5.1,50
"39",9,"dhz_data",1,0.966,0.921335494918092,5.8,50
"40",10,"dhz_data",1,0.93,0.908342642998872,6.5,50
"41",11,"dhz_data",1,0.961,0.874412835273106,7.2,50
"42",12,"dhz_data",1,0.954,0.841344394399721,7.9,50
"43",13,"dhz_data",1,0.945,0.873443092013002,8.6,50
"44",14,"dhz_data",1,0.951,0.816682205971687,9.3,50
"45",15,"dhz_data",1,0.952,0.83321699339877,10,50
"46",1,"subsam",1,0.56,1.1179806679646,0.2,50
"47",2,"subsam",1,0.745,0.939534137304678,0.9,50
"48",3,"subsam",1,0.813,0.831969821737303,1.6,50
"49",4,"subsam",1,0.844,0.787625308901706,2.3,50
"50",5,"subsam",1,0.858,0.752844952323087,3,50
"51",6,"subsam",1,0.859,0.731294906568132,3.7,50
"52",7,"subsam",1,0.867,0.717095849822954,4.4,50
"53",8,"subsam",1,0.864,0.702827101129384,5.1,50
"54",9,"subsam",1,0.846,0.701370184148584,5.8,50
"55",10,"subsam",1,0.849,0.68761169145281,6.5,50
"56",11,"subsam",1,0.885,0.67236535723773,7.2,50
"57",12,"subsam",1,0.87,0.687774085906347,7.9,50
"58",13,"subsam",1,0.873,0.68222604615971,8.6,50
"59",14,"subsam",1,0.874,0.662593715551958,9.3,50
"60",15,"subsam",1,0.877,0.660021407313506,10,50
"61",1,"hulc",2,0.853,1.27795933575916,0.2,100
