"","exmp_idx","method","n_idx","coverage","width","n"
"1",1,"hulc",1,0.942,0.65727877789845,500
"2",2,"hulc",1,0.929,0.583332018718826,500
"3",3,"hulc",1,0.933,0.37617250654087,500
"4",4,"hulc",1,0.956,0.264464399061501,500
"5",5,"hulc",1,0.951,0.405295382656525,500
"6",6,"hulc",1,0.947,0.543207815009555,500
"7",7,"hulc",1,0.959,0.361422758045897,500
"8",1,"dhz_data",1,0.987,1.05440905889311,500
"9",2,"dhz_data",1,0.878,0.547857251041752,500
"10",3,"dhz_data",1,0.849,0.457863061918033,500
"11",4,"dhz_data",1,0.889,0.23573820158518,500
"12",5,"dhz_data",1,0.883,0.322013822368947,500
"13",6,"dhz_data",1,0.875,0.46468943332055,500
"14",7,"dhz_data",1,0.934,0.40370621861199,500
"15",1,"subsam",1,0.795,0.391343627307535,500
"16",2,"subsam",1,0.755,0.412860970009157,500
"17",3,"subsam",1,0.715,0.297111900792096,500
"18",4,"subsam",1,0.834,0.179220663568968,500
"19",5,"subsam",1,0.856,0.264793736054187,500
"20",6,"subsam",1,0.825,0.389426572613107,500
"21",7,"subsam",1,0.628,0.192526014241611,500
"22",1,"hulc",2,0.937,0.496727858843728,1000
"23",2,"hulc",2,0.938,0.444700721876216,1000
"24",3,"hulc",2,0.927,0.295498310403646,1000
"25",4,"hulc",2,0.957,0.199422516222945,1000
"26",5,"hulc",2,0.945,0.294686811633262,1000
"27",6,"hulc",2,0.944,0.433142501899089,1000
"28",7,"hulc",2,0.951,0.280962678548455,1000
"29",1,"dhz_data",2,0.988,0.843518714199466,1000
"30",2,"dhz_data",2,0.87,0.446107089390474,1000
"31",3,"dhz_data",2,0.863,0.359454892543668,1000
"32",4,"dhz_data",2,0.886,0.17902733431563,1000
"33",5,"dhz_data",2,0.893,0.237413738324761,1000
"34",6,"dhz_data",2,0.884,0.383042974329946,1000
"35",7,"dhz_data",2,0.942,0.338114378945914,1000
"36",1,"subsam",2,0.786,0.308218742318351,1000
"37",2,"subsam",2,0.75,0.319569393214495,1000
"38",3,"subsam",2,0.732,0.23691080293147,1000
"39",4,"subsam",2,0.816,0.135118001139523,1000
"40",5,"subsam",2,0.883,0.193468411986953,1000
"41",6,"subsam",2,0.829,0.304576727386887,1000
"42",7,"subsam",2,0.684,0.154868479181437,1000
"43",1,"hulc",3,0.939,0.41924843246582,1500
"44",2,"hulc",3,0.947,0.389566031778226,1500
"45",3,"hulc",3,0.923,0.25212611419807,1500
"46",4,"hulc",3,0.944,0.169017963347384,1500
"47",5,"hulc",3,0.948,0.246953034329672,1500
"48",6,"hulc",3,0.952,0.370483219722896,1500
"49",7,"hulc",3,0.947,0.243176145226242,1500
"50",1,"dhz_data",3,0.99,0.769209072664615,1500
"51",2,"dhz_data",3,0.875,0.380488751091675,1500
"52",3,"dhz_data",3,0.819,0.296058387722653,1500
"53",4,"dhz_data",3,0.879,0.152044905790888,1500
"54",5,"dhz_data",3,0.883,0.192667124033961,1500
"55",6,"dhz_data",3,0.886,0.337434107103534,1500
"56",7,"dhz_data",3,0.933,0.292041722798061,1500
"57",1,"subsam",3,0.801,0.266500788989265,1500
"58",2,"subsam",3,0.761,0.27759240627601,1500
"59",3,"subsam",3,0.69,0.201058792243418,1500
"60",4,"subsam",3,0.827,0.115122091933742,1500
"61",5,"subsam",3,0.864,0.161888966159525,1500
"62",6,"subsam",3,0.836,0.264898874099858,1500
"63",7,"subsam",3,0.689,0.128753774306013,1500
"64",1,"hulc",4,0.944,0.385530151723464,2000
"65",2,"hulc",4,0.946,0.34561864633099,2000
"66",3,"hulc",4,0.932,0.227838354322571,2000
"67",4,"hulc",4,0.95,0.148950207473042,2000
"68",5,"hulc",4,0.95,0.210341580781878,2000
"69",6,"hulc",4,0.94,0.336858041402335,2000
"70",7,"hulc",4,0.953,0.22209500734985,2000
"71",1,"dhz_data",4,0.985,0.690181407365558,2000
"72",2,"dhz_data",4,0.881,0.344430284610403,2000
"73",3,"dhz_data",4,0.851,0.273494779873065,2000
"74",4,"dhz_data",4,0.872,0.137314115774672,2000
"75",5,"dhz_data",4,0.886,0.173699536003024,2000
"76",6,"dhz_data",4,0.885,0.311246117123992,2000
"77",7,"dhz_data",4,0.953,0.265691133233847,2000
"78",1,"subsam",4,0.799,0.24328038407423,2000
"79",2,"subsam",4,0.78,0.249659648741189,2000
"80",3,"subsam",4,0.726,0.179940248526786,2000
"81",4,"subsam",4,0.826,0.101629758946511,2000
"82",5,"subsam",4,0.858,0.142577071714314,2000
"83",6,"subsam",4,0.827,0.236333298132409,2000
"84",7,"subsam",4,0.695,0.117374846804956,2000
"85",1,"hulc",5,0.948,0.355018197152471,2500
"86",2,"hulc",5,0.948,0.316529177695236,2500
"87",3,"hulc",5,0.93,0.218018142530527,2500
"88",4,"hulc",5,0.945,0.131094185394712,2500
"89",5,"hulc",5,0.961,0.196032722025231,2500
"90",6,"hulc",5,0.945,0.308032342905763,2500
"91",7,"hulc",5,0.939,0.207487524204438,2500
"92",1,"dhz_data",5,0.989,0.672047760565526,2500
"93",2,"dhz_data",5,0.885,0.32876385695128,2500
"94",3,"dhz_data",5,0.85,0.252382070049759,2500
"95",4,"dhz_data",5,0.857,0.126216665236857,2500
"96",5,"dhz_data",5,0.888,0.15736442520317,2500
"97",6,"dhz_data",5,0.871,0.29129585967689,2500
"98",7,"dhz_data",5,0.959,0.246117354408661,2500
"99",1,"subsam",5,0.789,0.222321181549072,2500
"100",2,"subsam",5,0.77,0.23136804986987,2500
"101",3,"subsam",5,0.691,0.16501415596366,2500
"102",4,"subsam",5,0.812,0.0923232368217005,2500
"103",5,"subsam",5,0.87,0.127191817727815,2500
"104",6,"subsam",5,0.827,0.219502467016483,2500
"105",7,"subsam",5,0.705,0.107970025860262,2500
"106",1,"hulc",6,0.946,0.336430492069099,3000
"107",2,"hulc",6,0.953,0.300112258781684,3000
"108",3,"hulc",6,0.925,0.198824307093565,3000
"109",4,"hulc",6,0.948,0.123934547505269,3000
"110",5,"hulc",6,0.949,0.176025890615571,3000
"111",6,"hulc",6,0.947,0.289364713878543,3000
"112",7,"hulc",6,0.949,0.192007568981726,3000
"113",1,"dhz_data",6,0.984,0.627134970890938,3000
"114",2,"dhz_data",6,0.88,0.303527795052735,3000
"115",3,"dhz_data",6,0.833,0.228281063327582,3000
"116",4,"dhz_data",6,0.891,0.118186782889382,3000
"117",5,"dhz_data",6,0.875,0.139928463065462,3000
"118",6,"dhz_data",6,0.888,0.269999590343138,3000
"119",7,"dhz_data",6,0.934,0.232852904297945,3000
"120",1,"subsam",6,0.796,0.210037231288038,3000
"121",2,"subsam",6,0.776,0.214635714108684,3000
"122",3,"subsam",6,0.69,0.153386724146933,3000
"123",4,"subsam",6,0.836,0.0863901320989206,3000
"124",5,"subsam",6,0.877,0.118559563796622,3000
"125",6,"subsam",6,0.833,0.205532611153304,3000
"126",7,"subsam",6,0.707,0.101419517358097,3000
"127",1,"hulc",7,0.959,0.321857275468134,3500
"128",2,"hulc",7,0.943,0.279270099678919,3500
"129",3,"hulc",7,0.914,0.188020919180896,3500
"130",4,"hulc",7,0.96,0.11792447900019,3500
"131",5,"hulc",7,0.948,0.159659640171181,3500
"132",6,"hulc",7,0.955,0.27908760339975,3500
"133",7,"hulc",7,0.954,0.183075662334695,3500
"134",1,"dhz_data",7,0.987,0.605896295338091,3500
"135",2,"dhz_data",7,0.884,0.282456255688475,3500
"136",3,"dhz_data",7,0.832,0.223663660772123,3500
"137",4,"dhz_data",7,0.881,0.111102219947695,3500
"138",5,"dhz_data",7,0.883,0.127832999083074,3500
"139",6,"dhz_data",7,0.906,0.253837052868846,3500
"140",7,"dhz_data",7,0.94,0.221933063234359,3500
"141",1,"subsam",7,0.78,0.197523435449936,3500
"142",2,"subsam",7,0.771,0.200951488309559,3500
"143",3,"subsam",7,0.688,0.143914990048975,3500
"144",4,"subsam",7,0.84,0.0809987483009663,3500
"145",5,"subsam",7,0.883,0.107942739266695,3500
"146",6,"subsam",7,0.84,0.194653081788957,3500
"147",7,"subsam",7,0.675,0.0952177589572111,3500
"148",1,"hulc",8,0.965,0.307880438376487,4000
"149",2,"hulc",8,0.943,0.275681409991155,4000
"150",3,"hulc",8,0.922,0.183090494083139,4000
"151",4,"hulc",8,0.958,0.112112977871554,4000
"152",5,"hulc",8,0.949,0.151866583057044,4000
"153",6,"hulc",8,0.944,0.264086862923824,4000
"154",7,"hulc",8,0.948,0.175571561914532,4000
"155",1,"dhz_data",8,0.986,0.58112667192107,4000
"156",2,"dhz_data",8,0.888,0.276062915292039,4000
"157",3,"dhz_data",8,0.834,0.222117710910923,4000
"158",4,"dhz_data",8,0.889,0.103271002880605,4000
"159",5,"dhz_data",8,0.894,0.124563726881613,4000
"160",6,"dhz_data",8,0.888,0.243056198298213,4000
"161",7,"dhz_data",8,0.942,0.212936062573047,4000
"162",1,"subsam",8,0.792,0.18823423356057,4000
"163",2,"subsam",8,0.765,0.193696297118644,4000
"164",3,"subsam",8,0.688,0.136723131809853,4000
"165",4,"subsam",8,0.84,0.0761186161862553,4000
"166",5,"subsam",8,0.885,0.102650018640877,4000
"167",6,"subsam",8,0.843,0.186522210929811,4000
"168",7,"subsam",8,0.707,0.0911755796741218,4000
"169",1,"hulc",9,0.963,0.301382047228276,4500
"170",2,"hulc",9,0.964,0.265207840315936,4500
"171",3,"hulc",9,0.915,0.171785297662466,4500
"172",4,"hulc",9,0.94,0.106756679627058,4500
"173",5,"hulc",9,0.953,0.145685126662954,4500
"174",6,"hulc",9,0.944,0.250305048311299,4500
"175",7,"hulc",9,0.945,0.169938199848628,4500
"176",1,"dhz_data",9,0.982,0.548033906891475,4500
"177",2,"dhz_data",9,0.866,0.274764675606127,4500
"178",3,"dhz_data",9,0.825,0.2169074370944,4500
"179",4,"dhz_data",9,0.884,0.0993943490118124,4500
"180",5,"dhz_data",9,0.881,0.115377161454025,4500
"181",6,"dhz_data",9,0.879,0.240226973190752,4500
"182",7,"dhz_data",9,0.94,0.202663398620414,4500
"183",1,"subsam",9,0.784,0.180998052045319,4500
"184",2,"subsam",9,0.751,0.184648162882127,4500
"185",3,"subsam",9,0.676,0.12991394744791,4500
"186",4,"subsam",9,0.815,0.0724511582588033,4500
"187",5,"subsam",9,0.863,0.0971333153429876,4500
"188",6,"subsam",9,0.82,0.176999557397708,4500
"189",7,"subsam",9,0.68,0.0864953401979916,4500
"190",1,"hulc",10,0.93,0.283828903249951,5000
"191",2,"hulc",10,0.947,0.252765005862427,5000
"192",3,"hulc",10,0.924,0.16871862947564,5000
"193",4,"hulc",10,0.952,0.100789059346521,5000
"194",5,"hulc",10,0.951,0.138193886305269,5000
"195",6,"hulc",10,0.954,0.247466974740272,5000
"196",7,"hulc",10,0.934,0.158737165057564,5000
"197",1,"dhz_data",10,0.988,0.550895756694431,5000
"198",2,"dhz_data",10,0.888,0.257775482662919,5000
"199",3,"dhz_data",10,0.832,0.200025350858927,5000
"200",4,"dhz_data",10,0.9,0.0968463557843919,5000
"201",5,"dhz_data",10,0.879,0.110448712189134,5000
"202",6,"dhz_data",10,0.886,0.231482792997325,5000
"203",7,"dhz_data",10,0.942,0.194718298740513,5000
"204",1,"subsam",10,0.787,0.17601691813596,5000
"205",2,"subsam",10,0.782,0.179424388900801,5000
"206",3,"subsam",10,0.673,0.124884078093085,5000
"207",4,"subsam",10,0.843,0.0699939298370012,5000
"208",5,"subsam",10,0.874,0.093519188725885,5000
"209",6,"subsam",10,0.838,0.172342180813486,5000
"210",7,"subsam",10,0.67,0.0833335263211765,5000
