value,nsamp,name,rep
1,100,HulC,1
1,100,Wald,1
1,100,basic_boot,1
1,100,perc_boot,1
1,140,HulC,1
1,140,Wald,1
1,140,basic_boot,1
1,140,perc_boot,1
1,180,HulC,1
1,180,Wald,1
1,180,basic_boot,1
1,180,perc_boot,1
1,20,HulC,1
1,20,Wald,1
1,20,basic_boot,1
1,20,perc_boot,1
1,220,HulC,1
1,220,Wald,1
1,220,basic_boot,1
1,220,perc_boot,1
1,260,HulC,1
1,260,Wald,1
1,260,basic_boot,1
1,260,perc_boot,1
1,300,HulC,1
1,300,Wald,1
1,300,basic_boot,1
1,300,perc_boot,1
0,340,HulC,1
0,340,Wald,1
0,340,basic_boot,1
0,340,perc_boot,1
1,380,HulC,1
1,380,Wald,1
1,380,basic_boot,1
1,380,perc_boot,1
1,420,HulC,1
1,420,Wald,1
1,420,basic_boot,1
1,420,perc_boot,1
1,460,HulC,1
1,460,Wald,1
1,460,basic_boot,1
1,460,perc_boot,1
1,500,HulC,1
1,500,Wald,1
1,500,basic_boot,1
1,500,perc_boot,1
1,60,HulC,1
1,60,Wald,1
1,60,basic_boot,1
1,60,perc_boot,1
1,100,HulC,2
1,100,Wald,2
1,100,basic_boot,2
1,100,perc_boot,2
1,140,HulC,2
1,140,Wald,2
1,140,basic_boot,2
1,140,perc_boot,2
1,180,HulC,2
1,180,Wald,2
1,180,basic_boot,2
1,180,perc_boot,2
1,20,HulC,2
1,20,Wald,2
1,20,basic_boot,2
1,20,perc_boot,2
1,220,HulC,2
1,220,Wald,2
1,220,basic_boot,2
1,220,perc_boot,2
1,260,HulC,2
1,260,Wald,2
1,260,basic_boot,2
1,260,perc_boot,2
1,300,HulC,2
1,300,Wald,2
1,300,basic_boot,2
1,300,perc_boot,2
1,340,HulC,2
1,340,Wald,2
1,340,basic_boot,2
1,340,perc_boot,2
1,380,HulC,2
1,380,Wald,2
1,380,basic_boot,2
1,380,perc_boot,2
1,420,HulC,2
1,420,Wald,2
1,420,basic_boot,2
1,420,perc_boot,2
1,460,HulC,2
1,460,Wald,2
1,460,basic_boot,2
1,460,perc_boot,2
1,500,HulC,2
1,500,Wald,2
1,500,basic_boot,2
1,500,perc_boot,2
1,60,HulC,2
0,60,Wald,2
1,60,basic_boot,2
1,60,perc_boot,2
1,100,HulC,3
1,100,Wald,3
1,100,basic_boot,3
1,100,perc_boot,3
1,140,HulC,3
1,140,Wald,3
1,140,basic_boot,3
1,140,perc_boot,3
1,180,HulC,3
1,180,Wald,3
1,180,basic_boot,3
1,180,perc_boot,3
1,20,HulC,3
1,20,Wald,3
1,20,basic_boot,3
1,20,perc_boot,3
1,220,HulC,3
1,220,Wald,3
1,220,basic_boot,3
1,220,perc_boot,3
1,260,HulC,3
1,260,Wald,3
1,260,basic_boot,3
1,260,perc_boot,3
1,300,HulC,3
1,300,Wald,3
1,300,basic_boot,3
1,300,perc_boot,3
1,340,HulC,3
1,340,Wald,3
1,340,basic_boot,3
1,340,perc_boot,3
1,380,HulC,3
1,380,Wald,3
1,380,basic_boot,3
1,380,perc_boot,3
1,420,HulC,3
1,420,Wald,3
1,420,basic_boot,3
1,420,perc_boot,3
1,460,HulC,3
1,460,Wald,3
1,460,basic_boot,3
1,460,perc_boot,3
1,500,HulC,3
1,500,Wald,3
1,500,basic_boot,3
1,500,perc_boot,3
1,60,HulC,3
1,60,Wald,3
1,60,basic_boot,3
1,60,perc_boot,3
1,100,HulC,4
1,100,Wald,4
1,100,basic_boot,4
1,100,perc_boot,4
1,140,HulC,4
1,140,Wald,4
1,140,basic_boot,4
1,140,perc_boot,4
1,180,HulC,4
1,180,Wald,4
1,180,basic_boot,4
1,180,perc_boot,4
1,20,HulC,4
1,20,Wald,4
1,20,basic_boot,4
1,20,perc_boot,4
1,220,HulC,4
1,220,Wald,4
1,220,basic_boot,4
1,220,perc_boot,4
1,260,HulC,4
1,260,Wald,4
1,260,basic_boot,4
1,260,perc_boot,4
1,300,HulC,4
1,300,Wald,4
1,300,basic_boot,4
1,300,perc_boot,4
1,340,HulC,4
1,340,Wald,4
1,340,basic_boot,4
1,340,perc_boot,4
1,380,HulC,4
1,380,Wald,4
1,380,basic_boot,4
1,380,perc_boot,4
1,420,HulC,4
1,420,Wald,4
1,420,basic_boot,4
1,420,perc_boot,4
1,460,HulC,4
1,460,Wald,4
1,460,basic_boot,4
1,460,perc_boot,4
1,500,HulC,4
1,500,Wald,4
1,500,basic_boot,4
1,500,perc_boot,4
1,60,HulC,4
1,60,Wald,4
1,60,basic_boot,4
1,60,perc_boot,4
1,100,HulC,5
1,100,Wald,5
1,100,basic_boot,5
1,100,perc_boot,5
1,140,HulC,5
1,140,Wald,5
1,140,basic_boot,5
1,140,perc_boot,5
1,180,HulC,5
1,180,Wald,5
1,180,basic_boot,5
1,180,perc_boot,5
1,20,HulC,5
0,20,Wald,5
1,20,basic_boot,5
1,20,perc_boot,5
1,220,HulC,5
1,220,Wald,5
1,220,basic_boot,5
1,220,perc_boot,5
1,260,HulC,5
1,260,Wald,5
1,260,basic_boot,5
1,260,perc_boot,5
1,300,HulC,5
1,300,Wald,5
1,300,basic_boot,5
1,300,perc_boot,5
0,340,HulC,5
1,340,Wald,5
1,340,basic_boot,5
1,340,perc_boot,5
1,380,HulC,5
1,380,Wald,5
1,380,basic_boot,5
1,380,perc_boot,5
1,420,HulC,5
1,420,Wald,5
1,420,basic_boot,5
1,420,perc_boot,5
1,460,HulC,5
1,460,Wald,5
1,460,basic_boot,5
1,460,perc_boot,5
1,500,HulC,5
1,500,Wald,5
1,500,basic_boot,5
1,500,perc_boot,5
1,60,HulC,5
1,60,Wald,5
1,60,basic_boot,5
1,60,perc_boot,5
1,100,HulC,6
1,100,Wald,6
1,100,basic_boot,6
1,100,perc_boot,6
1,140,HulC,6
1,140,Wald,6
1,140,basic_boot,6
1,140,perc_boot,6
1,180,HulC,6
1,180,Wald,6
1,180,basic_boot,6
1,180,perc_boot,6
1,20,HulC,6
1,20,Wald,6
1,20,basic_boot,6
1,20,perc_boot,6
1,220,HulC,6
1,220,Wald,6
1,220,basic_boot,6
1,220,perc_boot,6
1,260,HulC,6
1,260,Wald,6
1,260,basic_boot,6
1,260,perc_boot,6
1,300,HulC,6
1,300,Wald,6
1,300,basic_boot,6
1,300,perc_boot,6
1,340,HulC,6
1,340,Wald,6
1,340,basic_boot,6
1,340,perc_boot,6
1,380,HulC,6
1,380,Wald,6
1,380,basic_boot,6
1,380,perc_boot,6
1,420,HulC,6
1,420,Wald,6
1,420,basic_boot,6
1,420,perc_boot,6
1,460,HulC,6
1,460,Wald,6
1,460,basic_boot,6
1,460,perc_boot,6
1,500,HulC,6
1,500,Wald,6
1,500,basic_boot,6
1,500,perc_boot,6
1,60,HulC,6
1,60,Wald,6
1,60,basic_boot,6
1,60,perc_boot,6
1,100,HulC,7
1,100,Wald,7
1,100,basic_boot,7
1,100,perc_boot,7
1,140,HulC,7
1,140,Wald,7
1,140,basic_boot,7
1,140,perc_boot,7
1,180,HulC,7
1,180,Wald,7
1,180,basic_boot,7
1,180,perc_boot,7
1,20,HulC,7
1,20,Wald,7
1,20,basic_boot,7
1,20,perc_boot,7
1,220,HulC,7
1,220,Wald,7
1,220,basic_boot,7
1,220,perc_boot,7
1,260,HulC,7
1,260,Wald,7
1,260,basic_boot,7
1,260,perc_boot,7
1,300,HulC,7
1,300,Wald,7
1,300,basic_boot,7
1,300,perc_boot,7
1,340,HulC,7
1,340,Wald,7
1,340,basic_boot,7
1,340,perc_boot,7
1,380,HulC,7
1,380,Wald,7
1,380,basic_boot,7
1,380,perc_boot,7
1,420,HulC,7
1,420,Wald,7
1,420,basic_boot,7
1,420,perc_boot,7
1,460,HulC,7
1,460,Wald,7
1,460,basic_boot,7
1,460,perc_boot,7
1,500,HulC,7
1,500,Wald,7
1,500,basic_boot,7
1,500,perc_boot,7
1,60,HulC,7
1,60,Wald,7
1,60,basic_boot,7
1,60,perc_boot,7
1,100,HulC,8
1,100,Wald,8
1,100,basic_boot,8
1,100,perc_boot,8
1,140,HulC,8
1,140,Wald,8
1,140,basic_boot,8
1,140,perc_boot,8
0,180,HulC,8
0,180,Wald,8
1,180,basic_boot,8
1,180,perc_boot,8
1,20,HulC,8
1,20,Wald,8
1,20,basic_boot,8
1,20,perc_boot,8
1,220,HulC,8
1,220,Wald,8
1,220,basic_boot,8
1,220,perc_boot,8
1,260,HulC,8
1,260,Wald,8
1,260,basic_boot,8
1,260,perc_boot,8
1,300,HulC,8
1,300,Wald,8
1,300,basic_boot,8
1,300,perc_boot,8
1,340,HulC,8
1,340,Wald,8
1,340,basic_boot,8
1,340,perc_boot,8
1,380,HulC,8
0,380,Wald,8
1,380,basic_boot,8
1,380,perc_boot,8
1,420,HulC,8
1,420,Wald,8
1,420,basic_boot,8
1,420,perc_boot,8
1,460,HulC,8
1,460,Wald,8
1,460,basic_boot,8
1,460,perc_boot,8
1,500,HulC,8
1,500,Wald,8
1,500,basic_boot,8
1,500,perc_boot,8
1,60,HulC,8
1,60,Wald,8
1,60,basic_boot,8
1,60,perc_boot,8
1,100,HulC,9
1,100,Wald,9
1,100,basic_boot,9
1,100,perc_boot,9
1,140,HulC,9
1,140,Wald,9
1,140,basic_boot,9
1,140,perc_boot,9
1,180,HulC,9
1,180,Wald,9
1,180,basic_boot,9
1,180,perc_boot,9
1,20,HulC,9
1,20,Wald,9
1,20,basic_boot,9
1,20,perc_boot,9
1,220,HulC,9
1,220,Wald,9
1,220,basic_boot,9
1,220,perc_boot,9
0,260,HulC,9
0,260,Wald,9
0,260,basic_boot,9
0,260,perc_boot,9
0,300,HulC,9
0,300,Wald,9
0,300,basic_boot,9
1,300,perc_boot,9
1,340,HulC,9
1,340,Wald,9
1,340,basic_boot,9
1,340,perc_boot,9
1,380,HulC,9
1,380,Wald,9
1,380,basic_boot,9
1,380,perc_boot,9
0,420,HulC,9
1,420,Wald,9
1,420,basic_boot,9
1,420,perc_boot,9
1,460,HulC,9
1,460,Wald,9
1,460,basic_boot,9
1,460,perc_boot,9
1,500,HulC,9
1,500,Wald,9
1,500,basic_boot,9
1,500,perc_boot,9
1,60,HulC,9
1,60,Wald,9
1,60,basic_boot,9
1,60,perc_boot,9
1,100,HulC,10
1,100,Wald,10
1,100,basic_boot,10
1,100,perc_boot,10
1,140,HulC,10
1,140,Wald,10
1,140,basic_boot,10
1,140,perc_boot,10
0,180,HulC,10
1,180,Wald,10
1,180,basic_boot,10
1,180,perc_boot,10
1,20,HulC,10
0,20,Wald,10
0,20,basic_boot,10
1,20,perc_boot,10
1,220,HulC,10
1,220,Wald,10
1,220,basic_boot,10
1,220,perc_boot,10
1,260,HulC,10
1,260,Wald,10
1,260,basic_boot,10
1,260,perc_boot,10
1,300,HulC,10
1,300,Wald,10
1,300,basic_boot,10
1,300,perc_boot,10
1,340,HulC,10
1,340,Wald,10
1,340,basic_boot,10
1,340,perc_boot,10
1,380,HulC,10
1,380,Wald,10
1,380,basic_boot,10
1,380,perc_boot,10
1,420,HulC,10
1,420,Wald,10
1,420,basic_boot,10
1,420,perc_boot,10
1,460,HulC,10
1,460,Wald,10
1,460,basic_boot,10
1,460,perc_boot,10
1,500,HulC,10
1,500,Wald,10
1,500,basic_boot,10
1,500,perc_boot,10
1,60,HulC,10
1,60,Wald,10
1,60,basic_boot,10
1,60,perc_boot,10
1,100,HulC,11
1,100,Wald,11
1,100,basic_boot,11
1,100,perc_boot,11
1,140,HulC,11
1,140,Wald,11
1,140,basic_boot,11
1,140,perc_boot,11
1,180,HulC,11
1,180,Wald,11
1,180,basic_boot,11
1,180,perc_boot,11
1,20,HulC,11
1,20,Wald,11
1,20,basic_boot,11
1,20,perc_boot,11
1,220,HulC,11
1,220,Wald,11
1,220,basic_boot,11
1,220,perc_boot,11
1,260,HulC,11
1,260,Wald,11
1,260,basic_boot,11
1,260,perc_boot,11
1,300,HulC,11
1,300,Wald,11
1,300,basic_boot,11
1,300,perc_boot,11
1,340,HulC,11
1,340,Wald,11
1,340,basic_boot,11
1,340,perc_boot,11
1,380,HulC,11
1,380,Wald,11
1,380,basic_boot,11
1,380,perc_boot,11
1,420,HulC,11
1,420,Wald,11
1,420,basic_boot,11
1,420,perc_boot,11
1,460,HulC,11
1,460,Wald,11
1,460,basic_boot,11
1,460,perc_boot,11
1,500,HulC,11
1,500,Wald,11
1,500,basic_boot,11
1,500,perc_boot,11
1,60,HulC,11
1,60,Wald,11
1,60,basic_boot,11
1,60,perc_boot,11
1,100,HulC,12
1,100,Wald,12
1,100,basic_boot,12
1,100,perc_boot,12
1,140,HulC,12
1,140,Wald,12
1,140,basic_boot,12
1,140,perc_boot,12
1,180,HulC,12
1,180,Wald,12
1,180,basic_boot,12
1,180,perc_boot,12
1,20,HulC,12
1,20,Wald,12
1,20,basic_boot,12
1,20,perc_boot,12
1,220,HulC,12
1,220,Wald,12
1,220,basic_boot,12
1,220,perc_boot,12
1,260,HulC,12
1,260,Wald,12
1,260,basic_boot,12
1,260,perc_boot,12
1,300,HulC,12
1,300,Wald,12
1,300,basic_boot,12
1,300,perc_boot,12
1,340,HulC,12
1,340,Wald,12
1,340,basic_boot,12
1,340,perc_boot,12
1,380,HulC,12
1,380,Wald,12
1,380,basic_boot,12
1,380,perc_boot,12
1,420,HulC,12
1,420,Wald,12
1,420,basic_boot,12
1,420,perc_boot,12
1,460,HulC,12
1,460,Wald,12
1,460,basic_boot,12
1,460,perc_boot,12
1,500,HulC,12
1,500,Wald,12
1,500,basic_boot,12
1,500,perc_boot,12
1,60,HulC,12
1,60,Wald,12
1,60,basic_boot,12
1,60,perc_boot,12
1,100,HulC,13
1,100,Wald,13
1,100,basic_boot,13
