value,gamma,nsamp,name,rep
1,0.1,1000,HulC,1
1,0.1,1000,Wald,1
1,0.1,1000,basic_boot,1
1,0.1,1000,perc_boot,1
1,0.2,1000,HulC,1
1,0.2,1000,Wald,1
1,0.2,1000,basic_boot,1
1,0.2,1000,perc_boot,1
1,0.3,1000,HulC,1
1,0.3,1000,Wald,1
1,0.3,1000,basic_boot,1
1,0.3,1000,perc_boot,1
1,0.4,1000,HulC,1
1,0.4,1000,Wald,1
1,0.4,1000,basic_boot,1
1,0.4,1000,perc_boot,1
1,0.5,1000,HulC,1
1,0.5,1000,Wald,1
1,0.5,1000,basic_boot,1
1,0.5,1000,perc_boot,1
1,0.6,1000,HulC,1
1,0.6,1000,Wald,1
1,0.6,1000,basic_boot,1
1,0.6,1000,perc_boot,1
1,0.7,1000,HulC,1
1,0.7,1000,Wald,1
1,0.7,1000,basic_boot,1
1,0.7,1000,perc_boot,1
1,0.8,1000,HulC,1
1,0.8,1000,Wald,1
1,0.8,1000,basic_boot,1
1,0.8,1000,perc_boot,1
1,0.9,1000,HulC,1
1,0.9,1000,Wald,1
1,0.9,1000,basic_boot,1
1,0.9,1000,perc_boot,1
1,0,1000,HulC,1
1,0,1000,Wald,1
1,0,1000,basic_boot,1
1,0,1000,perc_boot,1
1,1,1000,HulC,1
1,1,1000,Wald,1
1,1,1000,basic_boot,1
1,1,1000,perc_boot,1
1,0.1,100,HulC,1
1,0.1,100,Wald,1
1,0.1,100,basic_boot,1
1,0.1,100,perc_boot,1
1,0.2,100,HulC,1
1,0.2,100,Wald,1
1,0.2,100,basic_boot,1
1,0.2,100,perc_boot,1
1,0.3,100,HulC,1
1,0.3,100,Wald,1
1,0.3,100,basic_boot,1
1,0.3,100,perc_boot,1
1,0.4,100,HulC,1
1,0.4,100,Wald,1
1,0.4,100,basic_boot,1
1,0.4,100,perc_boot,1
1,0.5,100,HulC,1
1,0.5,100,Wald,1
1,0.5,100,basic_boot,1
1,0.5,100,perc_boot,1
1,0.6,100,HulC,1
1,0.6,100,Wald,1
1,0.6,100,basic_boot,1
1,0.6,100,perc_boot,1
1,0.7,100,HulC,1
1,0.7,100,Wald,1
1,0.7,100,basic_boot,1
1,0.7,100,perc_boot,1
1,0.8,100,HulC,1
1,0.8,100,Wald,1
1,0.8,100,basic_boot,1
1,0.8,100,perc_boot,1
1,0.9,100,HulC,1
1,0.9,100,Wald,1
1,0.9,100,basic_boot,1
1,0.9,100,perc_boot,1
1,0,100,HulC,1
1,0,100,Wald,1
1,0,100,basic_boot,1
1,0,100,perc_boot,1
1,1,100,HulC,1
1,1,100,Wald,1
1,1,100,basic_boot,1
1,1,100,perc_boot,1
0,0.1,20,HulC,1
1,0.1,20,Wald,1
1,0.1,20,basic_boot,1
1,0.1,20,perc_boot,1
1,0.2,20,HulC,1
1,0.2,20,Wald,1
1,0.2,20,basic_boot,1
1,0.2,20,perc_boot,1
1,0.3,20,HulC,1
1,0.3,20,Wald,1
1,0.3,20,basic_boot,1
1,0.3,20,perc_boot,1
1,0.4,20,HulC,1
